proyecto,nombre_proyecto,tipo_proyecto,fase,actividad,material,unidad_medida,cantidad_material,costo_unitario,costo_material,dias_trabajados,duracion_estimada,duracion_real,retraso_dias,costo_mano_obra,costo_estimado,costo_real,diferencia_costo,porcentaje_desviacion,ciudad,clima,estado_costo,fecha_inicio,fecha_fin,offset_inicio,duracion_calculada,costo_total
9,Centro Empresarial Nova,Comercial,Equipamiento,Instalación closet,MDF,Unidad,13,200000,2600000,10,11,10,-1,110000,1210000,1100000,110000,-9.0%,Bogotá,Soleado,Ahorro,2025-06-17,2025-06-27,105,-49,2710000
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,1,300000,300000,5,5,5,0,100000,500000,500000,0,0.0%,Bogotá,Soleado,En presupuesto,2025-06-14,2025-06-19,116,-76,400000
8,Mall Gran Avenida,Comercial,Estructura,Vaciado,Concreto,m3,5,350000,1750000,15,14,15,1,130000,1820000,1950000,-130000,7.0%,Bogotá,Nublado,Sobrecosto,2025-10-22,2025-11-06,96,-59,1880000
2,Conjunto Cerrado Villa Campestre,Residencial,Acabados,Cielorraso,Drywall,Lámina,20,40000,800000,10,12,10,-2,100000,1200000,1000000,200000,-17.0%,Bogotá,Soleado,Ahorro,2025-08-18,2025-08-28,114,-70,900000
4,Conjunto Horizonte Verde,Residencial,Instalaciones,Eléctrica,Punto eléctrico,Punto,18,120000,2160000,16,20,16,-4,120000,2400000,1920000,480000,-20.0%,Bogotá,Soleado,Ahorro,2025-06-14,2025-06-30,113,-59,2280000
1,Urbanización Los Almendros,Residencial,Instalaciones,Eléctrica,Punto eléctrico,Punto,13,120000,1560000,15,13,15,2,120000,1560000,1800000,-240000,15.0%,Bogotá,Nublado,Sobrecosto,2025-09-13,2025-09-28,95,-27,1680000
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,83,4500,373500,24,23,24,1,130000,2990000,3120000,-130000,4.0%,Bogotá,Nublado,Sobrecosto,2025-11-17,2025-12-11,96,-24,503500
4,Conjunto Horizonte Verde,Residencial,Cimentación,Vaciado,Concreto,m3,10,350000,3500000,21,20,21,1,130000,2600000,2730000,-130000,5.0%,Bogotá,Lluvia,Sobrecosto,2025-06-14,2025-07-05,117,-40,3630000
8,Mall Gran Avenida,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,5,250000,1250000,5,6,5,-1,95000,570000,475000,95000,-17.0%,Bogotá,Nublado,Ahorro,2025-10-22,2025-10-27,101,-89,1345000
3,Residencial Altos del Norte,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,6,300000,1800000,6,7,6,-1,100000,700000,600000,100000,-14.0%,Bogotá,Soleado,Ahorro,2025-02-07,2025-02-13,129,-115,1900000
9,Centro Empresarial Nova,Comercial,Instalaciones,Acueducto,Punto agua,Punto,11,140000,1540000,12,13,12,-1,120000,1560000,1440000,120000,-8.0%,Bogotá,Soleado,Ahorro,2025-06-17,2025-06-29,104,-86,1660000
1,Urbanización Los Almendros,Residencial,Acabados,Pintura,Pintura,Galón,11,90000,990000,10,11,10,-1,90000,990000,900000,90000,-9.0%,Bogotá,Soleado,Ahorro,2025-09-13,2025-09-23,92,-23,1080000
0,Conjunto Residencial Marsella,Residencial,Acabados,Estuco,Estuco plástico,Bulto,25,30000,750000,10,12,10,-2,95000,1140000,950000,190000,-17.0%,Bogotá,Soleado,Ahorro,2025-11-17,2025-11-27,100,-73,845000
9,Centro Empresarial Nova,Comercial,Instalaciones,Sanitaria,Punto sanitario,Punto,16,150000,2400000,19,17,19,2,120000,2040000,2280000,-240000,12.0%,Bogotá,Lluvia,Sobrecosto,2025-06-17,2025-07-06,106,-54,2520000
2,Conjunto Cerrado Villa Campestre,Residencial,Instalaciones,Gas,Punto gas,Punto,9,130000,1170000,10,11,10,-1,120000,1320000,1200000,120000,-9.0%,Bogotá,Soleado,Ahorro,2025-08-18,2025-08-28,110,-82,1290000
6,Centro Comercial Plaza Central,Comercial,Instalaciones,Eléctrica,Punto eléctrico,Punto,15,120000,1800000,10,10,10,0,120000,1200000,1200000,0,0.0%,Bogotá,Soleado,En presupuesto,2025-04-19,2025-04-29,104,-91,1920000
1,Urbanización Los Almendros,Residencial,Cimentación,Vaciado,Concreto,m3,9,350000,3150000,21,27,21,-6,130000,3510000,2730000,780000,-22.0%,Bogotá,Soleado,Ahorro,2025-09-13,2025-10-04,100,-51,3280000
4,Conjunto Horizonte Verde,Residencial,Cimentación,Vaciado,Concreto,m3,10,350000,3500000,26,34,26,-8,130000,4420000,3380000,1040000,-24.0%,Bogotá,Nublado,Ahorro,2025-06-14,2025-07-10,123,-68,3630000
6,Centro Comercial Plaza Central,Comercial,Acabados,Pintura,Pintura,Galón,6,90000,540000,12,10,12,2,90000,900000,1080000,-180000,20.0%,Bogotá,Lluvia,Sobrecosto,2025-04-19,2025-05-01,105,-60,630000
8,Mall Gran Avenida,Comercial,Cimentación,Vaciado,Concreto,m3,15,350000,5250000,22,22,22,0,130000,2860000,2860000,0,0.0%,Bogotá,Soleado,En presupuesto,2025-10-22,2025-11-13,103,-53,5380000
9,Centro Empresarial Nova,Comercial,Cimentación,Armado,Acero,Kg,108,4500,486000,22,23,22,-1,130000,2990000,2860000,130000,-4.0%,Bogotá,Soleado,Ahorro,2025-06-17,2025-07-09,109,-87,616000
8,Mall Gran Avenida,Comercial,Instalaciones,Eléctrica,Punto eléctrico,Punto,6,120000,720000,19,22,19,-3,120000,2640000,2280000,360000,-14.0%,Bogotá,Nublado,Ahorro,2025-10-22,2025-11-10,108,-63,840000
4,Conjunto Horizonte Verde,Residencial,Instalaciones,Acueducto,Punto agua,Punto,7,140000,980000,12,13,12,-1,120000,1560000,1440000,120000,-8.0%,Bogotá,Soleado,Ahorro,2025-06-14,2025-06-26,120,-93,1100000
0,Conjunto Residencial Marsella,Residencial,Estructura,Armado,Acero,Kg,109,4500,490500,21,23,21,-2,130000,2990000,2730000,260000,-9.0%,Bogotá,Soleado,Ahorro,2025-11-17,2025-12-08,105,-39,620500
5,Residencial Jardines del Sur,Residencial,Cimentación,Vaciado,Concreto,m3,6,350000,2100000,26,26,26,0,130000,3380000,3380000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-09-27,2025-10-23,123,-60,2230000
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,20,24,20,-4,130000,3120000,2600000,520000,-17.0%,Bogotá,Nublado,Ahorro,2025-04-21,2025-05-11,108,-83,2930000
5,Residencial Jardines del Sur,Residencial,Estructura,Vaciado,Concreto,m3,12,350000,4200000,21,20,21,1,130000,2600000,2730000,-130000,5.0%,Bogotá,Nublado,Sobrecosto,2025-09-27,2025-10-18,124,-95,4330000
0,Conjunto Residencial Marsella,Residencial,Cimentación,Vaciado,Concreto,m3,14,350000,4900000,27,26,27,1,130000,3380000,3510000,-130000,4.0%,Bogotá,Lluvia,Sobrecosto,2025-11-17,2025-12-14,103,-33,5030000
1,Urbanización Los Almendros,Residencial,Cimentación,Armado,Acero,Kg,95,4500,427500,28,26,28,2,130000,3380000,3640000,-260000,8.0%,Bogotá,Lluvia,Sobrecosto,2025-09-13,2025-10-11,99,-28,557500
5,Residencial Jardines del Sur,Residencial,Instalaciones,Contra incendio,Punto incendio,Punto,15,180000,2700000,15,16,15,-1,120000,1920000,1800000,120000,-6.0%,Bogotá,Soleado,Ahorro,2025-09-27,2025-10-12,127,-98,2820000
3,Residencial Altos del Norte,Residencial,Instalaciones,Gas,Punto gas,Punto,18,130000,2340000,13,14,13,-1,120000,1680000,1560000,120000,-7.0%,Bogotá,Soleado,Ahorro,2025-02-07,2025-02-20,126,-94,2460000
6,Centro Comercial Plaza Central,Comercial,Estructura,Armado,Acero,Kg,93,4500,418500,23,27,23,-4,130000,3510000,2990000,520000,-15.0%,Bogotá,Soleado,Ahorro,2025-04-19,2025-05-12,108,-71,548500
7,Edificio Corporativo Torre Norte,Comercial,Acabados,Pintura,Pintura,Galón,15,90000,1350000,13,13,13,0,90000,1170000,1170000,0,0.0%,Bogotá,Soleado,En presupuesto,2025-04-21,2025-05-04,102,-49,1440000
9,Centro Empresarial Nova,Comercial,Acabados,Cielorraso,Drywall,Lámina,35,40000,1400000,17,22,17,-5,100000,2200000,1700000,500000,-23.0%,Bogotá,Soleado,Ahorro,2025-06-17,2025-07-04,106,-32,1500000
3,Residencial Altos del Norte,Residencial,Acabados,Estuco,Estuco plástico,Bulto,15,30000,450000,12,15,12,-3,95000,1425000,1140000,285000,-20.0%,Bogotá,Soleado,Ahorro,2025-02-07,2025-02-19,125,-81,545000
3,Residencial Altos del Norte,Residencial,Cimentación,Armado,Acero,Kg,97,4500,436500,22,21,22,1,130000,2730000,2860000,-130000,5.0%,Bogotá,Nublado,Sobrecosto,2025-02-07,2025-03-01,123,-101,566500
5,Residencial Jardines del Sur,Residencial,Cimentación,Vaciado,Concreto,m3,12,350000,4200000,24,23,24,1,130000,2990000,3120000,-130000,4.0%,Bogotá,Lluvia,Sobrecosto,2025-09-27,2025-10-21,129,-48,4330000
9,Centro Empresarial Nova,Comercial,Estructura,Vaciado,Concreto,m3,13,350000,4550000,16,17,16,-1,130000,2210000,2080000,130000,-6.0%,Bogotá,Nublado,Ahorro,2025-06-17,2025-07-03,106,-82,4680000
2,Conjunto Cerrado Villa Campestre,Residencial,Cimentación,Armado,Acero,Kg,119,4500,535500,24,25,24,-1,130000,3250000,3120000,130000,-4.0%,Bogotá,Soleado,Ahorro,2025-08-18,2025-09-11,117,-85,665500
5,Residencial Jardines del Sur,Residencial,Cimentación,Vaciado,Concreto,m3,14,350000,4900000,25,25,25,0,130000,3250000,3250000,0,0.0%,Bogotá,Soleado,En presupuesto,2025-09-27,2025-10-22,125,-56,5030000
9,Centro Empresarial Nova,Comercial,Acabados,Enchape,Cerámica,m2,22,50000,1100000,10,10,10,0,105000,1050000,1050000,0,0.0%,Bogotá,Soleado,En presupuesto,2025-06-17,2025-06-27,104,-44,1205000
0,Conjunto Residencial Marsella,Residencial,Acabados,Estuco,Estuco plástico,Bulto,10,30000,300000,11,10,11,1,95000,950000,1045000,-95000,10.0%,Bogotá,Nublado,Sobrecosto,2025-11-17,2025-11-28,105,-48,395000
3,Residencial Altos del Norte,Residencial,Cimentación,Armado,Acero,Kg,95,4500,427500,23,22,23,1,130000,2860000,2990000,-130000,5.0%,Bogotá,Lluvia,Sobrecosto,2025-02-07,2025-03-02,127,-55,557500
9,Centro Empresarial Nova,Comercial,Cimentación,Vaciado,Concreto,m3,11,350000,3850000,28,30,28,-2,130000,3900000,3640000,260000,-7.0%,Bogotá,Soleado,Ahorro,2025-06-17,2025-07-15,112,-77,3980000
8,Mall Gran Avenida,Comercial,Acabados,Cielorraso,Drywall,Lámina,13,40000,520000,11,12,11,-1,100000,1200000,1100000,100000,-8.0%,Bogotá,Soleado,Ahorro,2025-10-22,2025-11-02,107,-90,620000
8,Mall Gran Avenida,Comercial,Cimentación,Vaciado,Concreto,m3,7,350000,2450000,20,17,20,3,130000,2210000,2600000,-390000,18.0%,Bogotá,Nublado,Sobrecosto,2025-10-22,2025-11-11,104,-47,2580000
4,Conjunto Horizonte Verde,Residencial,Cimentación,Armado,Acero,Kg,94,4500,423000,15,17,15,-2,130000,2210000,1950000,260000,-12.0%,Bogotá,Soleado,Ahorro,2025-06-14,2025-06-29,123,-106,553000
9,Centro Empresarial Nova,Comercial,Cimentación,Armado,Acero,Kg,116,4500,522000,17,21,17,-4,130000,2730000,2210000,520000,-19.0%,Bogotá,Soleado,Ahorro,2025-06-17,2025-07-04,107,-76,652000
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Armado,Acero,Kg,92,4500,414000,19,22,19,-3,130000,2860000,2470000,390000,-14.0%,Bogotá,Soleado,Ahorro,2025-04-21,2025-05-10,104,-65,544000
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Instalación closet,MDF,Unidad,13,200000,2600000,5,5,5,0,110000,550000,550000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-06-14,2025-06-19,124,-75,2710000
5,Residencial Jardines del Sur,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,2,300000,600000,9,10,9,-1,100000,1000000,900000,100000,-10.0%,Bogotá,Soleado,Ahorro,2025-09-27,2025-10-06,126,-97,700000
9,Centro Empresarial Nova,Comercial,Acabados,Pintura,Pintura,Galón,13,90000,1170000,18,22,18,-4,90000,1980000,1620000,360000,-18.0%,Bogotá,Soleado,Ahorro,2025-06-17,2025-07-05,114,-41,1260000
1,Urbanización Los Almendros,Residencial,Acabados,Enchape,Cerámica,m2,22,50000,1100000,10,12,10,-2,105000,1260000,1050000,210000,-17.0%,Bogotá,Soleado,Ahorro,2025-09-13,2025-09-23,102,-75,1205000
3,Residencial Altos del Norte,Residencial,Estructura,Vaciado,Concreto,m3,11,350000,3850000,21,24,21,-3,130000,3120000,2730000,390000,-13.0%,Bogotá,Soleado,Ahorro,2025-02-07,2025-02-28,129,-73,3980000
4,Conjunto Horizonte Verde,Residencial,Estructura,Armado,Acero,Kg,101,4500,454500,15,18,15,-3,130000,2340000,1950000,390000,-17.0%,Bogotá,Soleado,Ahorro,2025-06-14,2025-06-29,127,-108,584500
0,Conjunto Residencial Marsella,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,10,250000,2500000,6,6,6,0,95000,570000,570000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-11-17,2025-11-23,106,-100,2595000
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación cocina,MDF,Unidad,7,200000,1400000,8,9,8,-1,110000,990000,880000,110000,-11.0%,Bogotá,Soleado,Ahorro,2025-04-19,2025-04-27,105,-57,1510000
2,Conjunto Cerrado Villa Campestre,Residencial,Instalaciones,Eléctrica,Punto eléctrico,Punto,18,120000,2160000,13,12,13,1,120000,1440000,1560000,-120000,8.0%,Bogotá,Nublado,Sobrecosto,2025-08-18,2025-08-31,111,-91,2280000
0,Conjunto Residencial Marsella,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,8,150000,1200000,17,15,17,2,120000,1800000,2040000,-240000,13.0%,Bogotá,Lluvia,Sobrecosto,2025-11-17,2025-12-04,103,-58,1320000
5,Residencial Jardines del Sur,Residencial,Equipamiento,Instalación closet,MDF,Unidad,5,200000,1000000,9,10,9,-1,110000,1100000,990000,110000,-10.0%,Bogotá,Soleado,Ahorro,2025-09-27,2025-10-06,132,-67,1110000
2,Conjunto Cerrado Villa Campestre,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,4,250000,1000000,3,3,3,0,95000,285000,285000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-08-18,2025-08-21,115,-101,1095000
4,Conjunto Horizonte Verde,Residencial,Acabados,Estuco,Estuco plástico,Bulto,23,30000,690000,10,10,10,0,95000,950000,950000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-06-14,2025-06-24,125,-59,785000
6,Centro Comercial Plaza Central,Comercial,Acabados,Cielorraso,Drywall,Lámina,28,40000,1120000,11,11,11,0,100000,1100000,1100000,0,0.0%,Bogotá,Soleado,En presupuesto,2025-04-19,2025-04-30,113,-44,1220000
7,Edificio Corporativo Torre Norte,Comercial,Estructura,Armado,Acero,Kg,114,4500,513000,21,24,21,-3,130000,3120000,2730000,390000,-13.0%,Bogotá,Soleado,Ahorro,2025-04-21,2025-05-12,105,-68,643000
6,Centro Comercial Plaza Central,Comercial,Instalaciones,Sanitaria,Punto sanitario,Punto,18,150000,2700000,11,10,11,1,120000,1200000,1320000,-120000,10.0%,Bogotá,Lluvia,Sobrecosto,2025-04-19,2025-04-30,108,-47,2820000
2,Conjunto Cerrado Villa Campestre,Residencial,Instalaciones,Contra incendio,Punto incendio,Punto,5,180000,900000,13,12,13,1,120000,1440000,1560000,-120000,8.0%,Bogotá,Lluvia,Sobrecosto,2025-08-18,2025-08-31,112,-85,1020000
8,Mall Gran Avenida,Comercial,Acabados,Pintura,Pintura,Galón,10,90000,900000,16,19,16,-3,90000,1710000,1440000,270000,-16.0%,Bogotá,Soleado,Ahorro,2025-10-22,2025-11-07,106,-71,990000
4,Conjunto Horizonte Verde,Residencial,Acabados,Estuco,Estuco plástico,Bulto,12,30000,360000,14,12,14,2,95000,1140000,1330000,-190000,17.0%,Bogotá,Lluvia,Sobrecosto,2025-06-14,2025-06-28,130,-91,455000
1,Urbanización Los Almendros,Residencial,Cimentación,Armado,Acero,Kg,95,4500,427500,26,26,26,0,130000,3380000,3380000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-09-13,2025-10-09,100,-64,557500
9,Centro Empresarial Nova,Comercial,Cimentación,Armado,Acero,Kg,83,4500,373500,25,22,25,3,130000,2860000,3250000,-390000,14.0%,Bogotá,Lluvia,Sobrecosto,2025-06-17,2025-07-12,111,-78,503500
1,Urbanización Los Almendros,Residencial,Acabados,Estuco,Estuco plástico,Bulto,12,30000,360000,13,13,13,0,95000,1235000,1235000,0,0.0%,Bogotá,Soleado,En presupuesto,2025-09-13,2025-09-26,96,-67,455000
8,Mall Gran Avenida,Comercial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,9,300000,2700000,7,8,7,-1,100000,800000,700000,100000,-13.0%,Bogotá,Soleado,Ahorro,2025-10-22,2025-10-29,108,-97,2800000
1,Urbanización Los Almendros,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,10,300000,3000000,9,9,9,0,100000,900000,900000,0,0.0%,Bogotá,Soleado,En presupuesto,2025-09-13,2025-09-22,105,-70,3100000
3,Residencial Altos del Norte,Residencial,Acabados,Cielorraso,Drywall,Lámina,24,40000,960000,17,22,17,-5,100000,2200000,1700000,500000,-23.0%,Bogotá,Nublado,Ahorro,2025-02-07,2025-02-24,133,-62,1060000
4,Conjunto Horizonte Verde,Residencial,Acabados,Pintura,Pintura,Galón,10,90000,900000,12,14,12,-2,90000,1260000,1080000,180000,-14.0%,Bogotá,Soleado,Ahorro,2025-06-14,2025-06-26,124,-68,990000
0,Conjunto Residencial Marsella,Residencial,Estructura,Armado,Acero,Kg,95,4500,427500,28,28,28,0,130000,3640000,3640000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-11-17,2025-12-15,110,-81,557500
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,93,4500,418500,28,32,28,-4,130000,4160000,3640000,520000,-13.0%,Bogotá,Soleado,Ahorro,2025-11-17,2025-12-15,104,-73,548500
4,Conjunto Horizonte Verde,Residencial,Cimentación,Vaciado,Concreto,m3,9,350000,3150000,26,24,26,2,130000,3120000,3380000,-260000,8.0%,Bogotá,Nublado,Sobrecosto,2025-06-14,2025-07-10,123,-92,3280000
3,Residencial Altos del Norte,Residencial,Acabados,Estuco,Estuco plástico,Bulto,10,30000,300000,8,8,8,0,95000,760000,760000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-02-07,2025-02-15,132,-111,395000
9,Centro Empresarial Nova,Comercial,Acabados,Cielorraso,Drywall,Lámina,36,40000,1440000,15,13,15,2,100000,1300000,1500000,-200000,15.0%,Bogotá,Lluvia,Sobrecosto,2025-06-17,2025-07-02,111,-86,1540000
0,Conjunto Residencial Marsella,Residencial,Instalaciones,Contra incendio,Punto incendio,Punto,15,180000,2700000,13,14,13,-1,120000,1680000,1560000,120000,-7.0%,Bogotá,Soleado,Ahorro,2025-11-17,2025-11-30,111,-82,2820000
6,Centro Comercial Plaza Central,Comercial,Instalaciones,Gas,Punto gas,Punto,15,130000,1950000,10,9,10,1,120000,1080000,1200000,-120000,11.0%,Bogotá,Nublado,Sobrecosto,2025-04-19,2025-04-29,115,-51,2070000
4,Conjunto Horizonte Verde,Residencial,Estructura,Vaciado,Concreto,m3,8,350000,2800000,19,17,19,2,130000,2210000,2470000,-260000,12.0%,Bogotá,Nublado,Sobrecosto,2025-06-14,2025-07-03,126,-72,2930000
0,Conjunto Residencial Marsella,Residencial,Instalaciones,Acueducto,Punto agua,Punto,13,140000,1820000,11,13,11,-2,120000,1560000,1320000,240000,-15.0%,Bogotá,Soleado,Ahorro,2025-11-17,2025-11-28,104,-65,1940000
0,Conjunto Residencial Marsella,Residencial,Instalaciones,Contra incendio,Punto incendio,Punto,18,180000,3240000,17,21,17,-4,120000,2520000,2040000,480000,-19.0%,Bogotá,Soleado,Ahorro,2025-11-17,2025-12-04,108,-74,3360000
8,Mall Gran Avenida,Comercial,Acabados,Estuco,Estuco plástico,Bulto,28,30000,840000,9,9,9,0,95000,855000,855000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-10-22,2025-10-31,107,-98,935000
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Vaciado,Concreto,m3,12,350000,4200000,19,21,19,-2,130000,2730000,2470000,260000,-10.0%,Bogotá,Nublado,Ahorro,2025-04-21,2025-05-10,105,-86,4330000
6,Centro Comercial Plaza Central,Comercial,Cimentación,Vaciado,Concreto,m3,6,350000,2100000,29,32,29,-3,130000,4160000,3770000,390000,-9.0%,Bogotá,Soleado,Ahorro,2025-04-19,2025-05-18,113,-25,2230000
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,83,4500,373500,17,21,17,-4,130000,2730000,2210000,520000,-19.0%,Bogotá,Nublado,Ahorro,2025-11-17,2025-12-04,112,-86,503500
6,Centro Comercial Plaza Central,Comercial,Cimentación,Armado,Acero,Kg,101,4500,454500,27,34,27,-7,130000,4420000,3510000,910000,-21.0%,Bogotá,Nublado,Ahorro,2025-04-19,2025-05-16,112,-84,584500
2,Conjunto Cerrado Villa Campestre,Residencial,Estructura,Armado,Acero,Kg,110,4500,495000,17,17,17,0,130000,2210000,2210000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-08-18,2025-09-04,121,-62,625000
0,Conjunto Residencial Marsella,Residencial,Equipamiento,Instalación closet,MDF,Unidad,6,200000,1200000,10,10,10,0,110000,1100000,1100000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-11-17,2025-11-27,116,-102,1310000
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,2,250000,500000,3,3,3,0,95000,285000,285000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-04-19,2025-04-22,117,-93,595000
2,Conjunto Cerrado Villa Campestre,Residencial,Cimentación,Armado,Acero,Kg,112,4500,504000,28,32,28,-4,130000,4160000,3640000,520000,-13.0%,Bogotá,Soleado,Ahorro,2025-08-18,2025-09-15,114,-56,634000
8,Mall Gran Avenida,Comercial,Cimentación,Armado,Acero,Kg,84,4500,378000,18,16,18,2,130000,2080000,2340000,-260000,13.0%,Bogotá,Lluvia,Sobrecosto,2025-10-22,2025-11-09,110,-74,508000
6,Centro Comercial Plaza Central,Comercial,Cimentación,Armado,Acero,Kg,86,4500,387000,18,23,18,-5,130000,2990000,2340000,650000,-22.0%,Bogotá,Soleado,Ahorro,2025-04-19,2025-05-07,119,-69,517000
0,Conjunto Residencial Marsella,Residencial,Cimentación,Vaciado,Concreto,m3,11,350000,3850000,25,24,25,1,130000,3120000,3250000,-130000,4.0%,Bogotá,Lluvia,Sobrecosto,2025-11-17,2025-12-12,109,-46,3980000
1,Urbanización Los Almendros,Residencial,Estructura,Vaciado,Concreto,m3,10,350000,3500000,26,23,26,3,130000,2990000,3380000,-390000,13.0%,Bogotá,Nublado,Sobrecosto,2025-09-13,2025-10-09,101,-61,3630000
0,Conjunto Residencial Marsella,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,6,200000,1200000,11,13,11,-2,110000,1430000,1210000,220000,-15.0%,Bogotá,Soleado,Ahorro,2025-11-17,2025-11-28,114,-94,1310000
5,Residencial Jardines del Sur,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,16,200000,3200000,10,13,10,-3,110000,1430000,1100000,330000,-23.0%,Bogotá,Nublado,Ahorro,2025-09-27,2025-10-07,128,-114,3310000
4,Conjunto Horizonte Verde,Residencial,Instalaciones,Contra incendio,Punto incendio,Punto,9,180000,1620000,16,16,16,0,120000,1920000,1920000,0,0.0%,Bogotá,Soleado,En presupuesto,2025-06-14,2025-06-30,132,-78,1740000
2,Conjunto Cerrado Villa Campestre,Residencial,Instalaciones,Gas,Punto gas,Punto,18,130000,2340000,11,14,11,-3,120000,1680000,1320000,360000,-21.0%,Bogotá,Soleado,Ahorro,2025-08-18,2025-08-29,123,-62,2460000
1,Urbanización Los Almendros,Residencial,Cimentación,Armado,Acero,Kg,87,4500,391500,27,35,27,-8,130000,4550000,3510000,1040000,-23.0%,Bogotá,Nublado,Ahorro,2025-09-13,2025-10-10,107,-74,521500
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Armado,Acero,Kg,102,4500,459000,19,17,19,2,130000,2210000,2470000,-260000,12.0%,Bogotá,Lluvia,Sobrecosto,2025-04-21,2025-05-10,108,-34,589000
2,Conjunto Cerrado Villa Campestre,Residencial,Instalaciones,Eléctrica,Punto eléctrico,Punto,6,120000,720000,14,13,14,1,120000,1560000,1680000,-120000,8.0%,Bogotá,Nublado,Sobrecosto,2025-08-18,2025-09-01,119,-78,840000
6,Centro Comercial Plaza Central,Comercial,Instalaciones,Gas,Punto gas,Punto,13,130000,1690000,15,14,15,1,120000,1680000,1800000,-120000,7.0%,Bogotá,Nublado,Sobrecosto,2025-04-19,2025-05-04,120,-74,1810000
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,24,28,24,-4,130000,3640000,3120000,520000,-14.0%,Bogotá,Soleado,Ahorro,2025-04-21,2025-05-15,110,-67,2930000
1,Urbanización Los Almendros,Residencial,Cimentación,Armado,Acero,Kg,101,4500,454500,15,19,15,-4,130000,2470000,1950000,520000,-21.0%,Bogotá,Nublado,Ahorro,2025-09-13,2025-09-28,100,-56,584500
2,Conjunto Cerrado Villa Campestre,Residencial,Estructura,Armado,Acero,Kg,82,4500,369000,21,21,21,0,130000,2730000,2730000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-08-18,2025-09-08,118,-55,499000
5,Residencial Jardines del Sur,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,8,200000,1600000,12,11,12,1,110000,1210000,1320000,-110000,9.0%,Bogotá,Lluvia,Sobrecosto,2025-09-27,2025-10-09,129,-99,1710000
5,Residencial Jardines del Sur,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,6,250000,1500000,3,3,3,0,95000,285000,285000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-09-27,2025-09-30,127,-97,1595000
9,Centro Empresarial Nova,Comercial,Instalaciones,Acueducto,Punto agua,Punto,10,140000,1400000,19,17,19,2,120000,2040000,2280000,-240000,12.0%,Bogotá,Lluvia,Sobrecosto,2025-06-17,2025-07-06,114,-81,1520000
0,Conjunto Residencial Marsella,Residencial,Instalaciones,Gas,Punto gas,Punto,8,130000,1040000,18,19,18,-1,120000,2280000,2160000,120000,-5.0%,Bogotá,Nublado,Ahorro,2025-11-17,2025-12-05,113,-59,1160000
3,Residencial Altos del Norte,Residencial,Cimentación,Armado,Acero,Kg,114,4500,513000,24,28,24,-4,130000,3640000,3120000,520000,-14.0%,Bogotá,Soleado,Ahorro,2025-02-07,2025-03-03,129,-79,643000
0,Conjunto Residencial Marsella,Residencial,Cimentación,Vaciado,Concreto,m3,6,350000,2100000,28,28,28,0,130000,3640000,3640000,0,0.0%,Bogotá,Soleado,En presupuesto,2025-11-17,2025-12-15,117,-48,2230000
3,Residencial Altos del Norte,Residencial,Cimentación,Vaciado,Concreto,m3,6,350000,2100000,22,28,22,-6,130000,3640000,2860000,780000,-21.0%,Bogotá,Soleado,Ahorro,2025-02-07,2025-03-01,136,-109,2230000
